definition,title
"The triangle control frame in some hang gliders consists of tow side beams approximately meeting at their upper ends near the wing's root chord or keel; the two side beams's lower ends usually hold between them a basebar (trapeze bar, control bar, speedbar, belly basebar, etc.). The two down beams (legs, downtubes, uptubes, queenposts, etc.)and the basebar form a geometric triangle roughly. The TCF generally needs staying its position by struts or cables that communicate with the hang glider's other airframe parts. 
","Triangle control frame (TCF)
"
"The TCF cable-stayed with hang glider pilot behind the TCF was photographed and fact in a hang glider within a Breslau territory gliding club in the year 1908. We still use such TCF in many hang gliders of today. 
",
"Just as a geometric triangle has its degenerate instances, so the TCF has known its degenerate instances; one important degenerate TCF is where the two downtubes meet so closely that they become one (while either the basebar or control bar becomes a tee formation in some aircraft or simply becomes a stub or even identical to the end of the downbeam; this format is the age-old control beam or control stick that exchanges strut staying or cable staying with rigid staying to the wing itself; see Benson gyrocopter hang glider for such instance; another before 1930 was the Spratt use of the cable-stayed TCF; another is in the Paresev 1961c hang gliders.  A degenerated TCF was instructed in the 1887 Beeson US Patent hang glider. 
",
"When skilled designers began to explore power, the TCF structure and understood mechanics got morphed to holding takeoff and landing wheels while also acting as two queenposts in some instances. In hundreds of different aircraft before 1920, one can identify such mechanics regarding the TCF structure. Even the William Beeson 1887 preempted the Wanner and the NASA flexible wing hang glider flows. Spratt also used the known TCF arts.  After 50 years of evident instructions on many formats of the TCF, one finds some mid-century use by NASA, Barry Hill Palmer, Mike Burns, and then later others like Dickenson who had experience directly already with the gyrocopter degenerate TCF from the Benson flow.   
",
"Actually, the mechanics of the TCF is found in the staying of pendulumed variable-positioned weights of the early 1800s Walker gliders. Wenham in the 1800s text and drawings indicated understanding of the TCF arts.   Notes on TCF are welcome to be shared at notes@HangGliderHistory.com       For instance, the hybrid hang glider by Tony Prentice at his age 13 years had a framed wing and cord-only control where the TCF was all cord format staying in tension during lift-off; see LIFT in 2010 for Tony's drawings and notes.
",
"Flight condition in a turn where yaw and bank do NOT agree.  This uncoordination will produce a skidding or slipping turn condition.
","Uncoordinated Turn
"
" This organization had a brief life, as the owner then gave the name over via a non-competition agreement to the later being-born United States Hang Gliding Association, which see next:
,The ,.  The name has changed to USHPA to include an emphasis on the string-controlled hang gliders recent decades called paragliders in addition to frame-controlled hang gliders often abbreviated to ""hang gliders."" Both the string-controlled and the frame-controlled hang glders are mechanically hang gliders. The FAI also respects that paragliders are a proper subset within the parent set of ""hang gliders.""    Note too that the Paresev hang gliders with framed four-boom collapsibility in 1961 were indeed dubbed ""paragliders"" in contra-distinction to how that term has become identified with string-controlled limp wings with nearly no compression members in the wing canopy. There still is a chance that the market will one day move into robust stiffening of paraglider canopies by various means (beams, whiskers, inflated beams, smart-triggering limp-to-stiff-to-limp sails, etc. to fill out a near continuum of flexibility-stiffness for hang gliders.  
","USHGA
"
"United States Hang Gliding Foundation. Name now changed to ,
","USHGF
"
"The ,.  One of hang gliding's governing bodies, headquartered in Colorado Springs, CO.  The USHPA's primary roles are to maintain pilot and instructor certifications and provide third-party liability insurance.
","USHPA
"
"Higher-performing gliders have the capability for the pilot to change their geometry while in flight. The pilot pulls on a cord to tighten the sail, and releases it to loosen the sail. A tight sail makes for a better glide, but makes the glider harder to control. Therefore, (roughly speaking) we use a loose VG setting while working thermals, and a tight VG setting while crossing areas of sink in search of the next thermal.   
,A second region of variable geometry regards morphing wing shapes via variable extension, variable porosity, variable reefing, etc. Mid-1900s deployments of hang glider sails facing some of these morphing tactics. The future will see even more efforts in morphable wings for hang gliders.
","Variable Geometry
"
"Flight instrument most commonly used by Hang Glider pilots.  It is used to help find and stay in thermal lift.  Most Varios also have altimeters and some include GPS.
","Variometer (Vario)
"
"Visual Approach Slope Indicator, a device that helps pilots maintain a proper approach angle to the LZ.  
","VASI
"
"Variable Billow.  See ""variable geometry""
","VB
"
"See ""variable geometry""
","VG
"
"A special kind of Class E airspace, where flight is allowed, but traffic is heavy with other types of aviation.  Shown on a sectional by a faint blue lines with a number starting with a V.  They start at 1200' AGL and extend to 18,000 and are 8 miles wide.
","Victor Airway
"
"Slang for ""wingover""
","Wang
"
"refers to a wing built with a twist so the wing tips are at lower angles of attack than the root.  This is usually done to prevent the wing tips from stalling before the root.  All hang glider wings have washout.
","Washout
"
"A light loop, designed to fail if forces become too great when towing.  
","Weak Link
"
"This is a less than perfect landing. A typical example includes the control frame hitting the ground promptly followed by the nose of the glider impacting the ground. The result can be a source of great entertainment if the pilot isn't hurt in the process. In a busy LZ you can typically hear a chorus of people yell ""WHAAAACK!"" after seeing a pilot perform such an ungraceful return to Earth.
","Whack
"
"A cloud.  You can knock on the door, but you can't go in.
","The White Room
"
"An intermediate aerobatic maneuver.  In a wingover, the pilot will gain airspeed and then pitch up and bank steeply so that he zooms upward while turning quickly.  The wing will often approach or exceed 90 degrees of bank.
","Wingover
"
"Wonder wind is when a valley that's been heating all day releases its hot air upwards, as cooler air from higher ground flows downwards. The resulting air is gently buoyant, and widespread areas of lift can support gliders until sunset and beyond.
","Wonder Wind
"
"A non-pilot. An ordinary person. The origin of the word is obscure, but it's thought to be a contraction of ""what for."" When non-pilots encounter pilots, they tend to ask a lot of questions: what for is this? what for is that? what for is the other? Wuffo's lead lives not worth living, because they have never experienced solo hang glider flight.
","Wuffo
"
" Cross Country.  To fly a hang glider from a starting launch site, and once at proper altitude, (typically) continue flying with the wind some distance to a known or unknown final landing spot. Hang gliders are often flown X-C for distances over 100 miles, with the record now being over 400 miles.
","X-C
"
"Rotation about the vertical axis.  In a Hang Glider this point is typically at the hang point or a line nearly defined by the King Post.
","Yaw
"
